lineno,value
01,*皆(みな)*さん、こんにちは。*私(わたし)*は*陳(ちん)*と*申(もう)し*ます。
02,*今日(きょう)*のテーマは、動機系のイベントの*感想(かんそう)*です。
03,このイベントの*中(なか)*で、*私(わたし)*が神秘股に*属(ぞく)して*いることは*人(ひと)*に*教(おし)えて*は*行(い)け*ません。
04,それが神秘股の*一番(いちばん)**特別(とくべつ)な**特徴(とくちょう)*です。
05,だからこそ*私達(わたしたち)*は*他(ほか)*の*人(ひと)*にバレないように、*練習(れんしゅう)*の*場所(ばしょ)*とか、*時間(じかん)*とか*毎日(まいにち)**変(か)えて*います。
06,*練習(れんしゅう)して*いる*時(とき)*に、*色々(いろいろ)な**困難(こんなん)*にぶつかりました。
07,*皆(みんな)*の*力(ちから)*を*合(あ)わせて*、やっと*問題(もんだい)*を*克服(こくふく)して*きました。
08,いい*思(おも)い**出(で)*が*沢山(たくさん)*できて、*本当(ほんとう)*に*良(よ)かった*と*思(おも)い*ます。
09,*我々(われわれ)*は*必(かなら)ず**素晴(すば)らしい*ショーを*作(つく)り**上(あ)げ*ますから、ぜひ*見(み)*に*来(き)て*もらえたらなぁと*思(おも)い*ます。
10,ご*清聴(せいちょう)*ありがとうございました。
