lineno,value
01,*皆(みな)*さん、こんにちは。*今日(きょう)*はデジタルイラストの*塗(ぬ)り**方(かた)*の*種類(しゅるい)*について*紹介(しょうかい)し*たいとおもいます。
02,*一般的(いっぱんてき)*には、よく*見(み)られる**塗(ぬ)り**方(かた)*は*三(みっ)つ*あります。
03,まずはアニメ*塗(ぬ)り*（セル*塗(ぬ)り*）です。
04,アニメ*塗(ぬ)り*はデジタル*塗(ぬ)り*の*基礎(きそ)*と*言(い)って*も*過言(かごん)*ではありません。
05,*基本的(きほんてき)に*は*光源(こうげん)*を*決(き)めて*、ベース*色(しょく)*の*上(うえ)*に*影(かげ)*を*塗(ぬ)って*いきます。
06,その*特徴(とくちょう)*は「シンプルなベース*色(しょく)*」、「*境界(きょうかい)*がはっきり*見(み)える**影(かげ)*」と「グラデーションを*使(つか)わ*ない」などです。
07,*技法(ぎほう)*はほぼないですから、*初心者(しょしんしゃ)*には*一番(いちばん)*のおすすめです。
08,*次(つぎ)に*、*厚塗(あつぬ)り*です。
09,*厚塗(あつぬ)り*は*油絵(あぶらえ)*のように、*色(いろ)*を*重(かさ)ねて*いく*塗(ぬ)り**方(かた)*です。
10,*人(ひと)*によって、*線画(せんが)*を*描(か)か*ないこともあります。
11,「*境界線(きょうかいせん)*がない」、「*色(いろ)*が*濃(こ)い*」、「リアルである」と*言(い)う*のが*特徴(とくちょう)*です。
12,*厚塗(あつぬ)り*では、レイヤーの*使用数(しようすう)*が*少(すく)ない*から、*慣(な)れ*ないと*修正(しゅうせい)*に*時間(じかん)*がかかるので、*難(むずか)しい**塗(ぬ)り**方(かた)*と*言(い)え*ます。
13,*最後(さいご)*はブラシ*塗(ぬ)り*（ギャルゲ*塗(ぬ)り*）です。
14,ブラシ*塗(ぬ)り*とアニメ*塗(ぬ)り*の*構造(こうぞう)*は*基本的(きほんてき)に*は*同(おな)じ*だけれど、*前者(ぜんしゃ)*の*方(ほう)*がレイヤーが*多(おお)い*ので、もっと*複雑(ふくざつ)*です。
15,ぼかしやグラデションなどのブラシ*表現(ひょうげん)*を*加(くわ)える*ことで、*影(かげ)*の*境界線(きょうかいせん)*を*曖昧(あいまい)*にできます。
16,このような*塗(ぬ)り**方(かた)*をするとアニメ*塗(ぬ)り*より*高級感(こうきゅうかん)*が*出(で)て*、そして*厚塗(あつぬ)り*ほど*重(おも)く*ないです。だからこそ、ニーズが*高(たか)い*です。
17,デジタルイラストの*塗(ぬ)り**方(かた)*はまだ*沢山(たくさん)*あるんですけど、*残念(ざんねん)*ながら、*紙数(しすう)*に*限(かぎ)り*がありますので、もし*次(つぎ)*の*機会(きかい)*があればまた*紹介(しょうかい)し*たいと*思(おも)い*ます。
18,*以上(いじょう)*です。ご*清聴(せいちょう)*ありがとうございました。
