lineno,value
01,*皆(みな)*さん、こんにちは。*私(わたし)*は*張(ちょう)*と*申(もう)し*ます。
02,*今日(きょう)*のテーマは*肥満(ひまん)*の*話(はなし)*です。
03,*私(わたし)*は*生(う)まれて*からずっと*肥満(ひまん)*と*戦(たたか)って*います。
04,*最近(さいきん)*、*肥満(ひまん)*に*負(ま)けて**大変(たいへん)**太(ふと)って*しまいました。
05,ママはこの*状況(じょうきょう)*を*見(み)る*と*私(わたし)*に*奇妙(きみょう)な*メッセージしました。
06,それは*中国(ちゅうごく)**医学(いがく)*から*肥満(ひまん)*の*観点(かんてん)*からの*話(はなし)*でした。
07,*現代(げんだい)**医学(いがく)*の*肥満(ひまん)*の*理論(りろん)*は*実際(じっさい)に*冬眠中(とうみんちゅう)*の*動物(どうぶつ)*の*起源(きげん)*であります。
08,*動物(どうぶつ)*は*冬眠(とうみん)*の*前(まえ)*に*沢山(たくさん)*の*食物(しょくもつ)*を*食(た)べて*、*体(からだ)*に*保存(ほぞん)する*ために*脂肪(しぼう)*に*変(か)わり*ます。
09,それで、*現代(げんだい)**医学(いがく)*は*食(た)べ**過(す)ぎて**太(ふと)る*と*主張(しゅちょう)する*。でも*中国(ちゅうごく)**医学(いがく)*は*廃物(はいぶつ)*の*排出(はいしゅつ)*が*少(すく)ない*から*太(ふと)る*と*主張(しゅちょう)する*。
10,*体(からだ)*のエネルギーが*足(た)り*ない*時(とき)*、*廃物(はいぶつ)*は*皮膚(ひふ)*の*下(した)*に*積(つ)み**上(あ)げて**太(ふと)く*なります。
11,そしてエネルギーが*足(た)り*ない*原因(げんいん)*は*子供(こども)*のとき*沢山(たくさん)*のバクテリアを*食(た)べて**脾臓(ひぞう)*がオーバーロードして*脾(ひ)*が*弱(よわ)く*なります。
12,バクテリアは*大人(おとな)*の*唾液(だえき)*にあります。*子供(こども)*のとき*可愛(かわい)*すぎて*大人(おとな)*に*遊(あそ)ばれ*ましたから。
13,*最後(さいご)*に、*中国(ちゅうごく)**医学(いがく)*は*健康的(けんこうてき)な**生活(せいかつ)*をして、*早寝早起(はやねはやお)き*をすると、*痩(や)せる*と*主張(しゅちょう)し*ます。
