lineno,value
01,*皆(みな)*さん、こんにちは。*私(わたし)*は*謝(しゃ)*と*申(もう)し*ます。*今日(きょう)*のテーマは、*私(わたし)*の*卒業旅行(そつぎょうりょこう)*です。
02,*私(わたし)*の*卒業旅行(そつぎょうりょこう)*は、*日本(にほん)*の*蔵王連峰(ざおうれんぽう)*へ*行(い)き*ました。*蔵王連峰(ざおうれんぽう)*には、*大(おお)きい*スキー*場(じょう)*があります。
03,これは*私(わたし)*の*最初(さいしょ)*のスキーです。*私(わたし)*は*期待(きたい)して*いましたが、*怖(こわ)かった*です。
04,*私(わたし)*は*友達(ともだち)*とスキーの*授業料(じゅぎょうりょう)*を*節約(せつやく)*ために、*自分(じぶん)*でスキーを*学(まな)び*ました。
05,*一日中(いちにちじゅう)*、ずっとスキーをしていましたが*上手(じょうず)*になりませんでした。
06,スキーは、*次々(つぎつぎ)*と*転(ころ)んで**上手(じょうず)*になれると*思(おも)う*。
07,*次(つぎ)*の*日(ひ)*は、*我々(われわれ)*は*高(たか)い**山(やま)*の*上(うえ)*までケーブルカーに*乗(の)り*ました。あれは、*地獄(じごく)*の*旅行(りょこう)*です。
08,*私(わたし)*は*数(かぞ)え**切(き)れ*ないくらい*何度(なんど)*も*何度(なんど)*も*転(ころ)び*ました。
09,*最後(さいご)*に、*私(わたし)*はスキーに*少(すこ)し**学(まな)び*ました。
10,*私(わたし)*はまだ*生(い)きて*いる。*本当(ほんとう)に**良(よ)かった*と*思(おも)い*ました。
11,ご*清聴(せいちょう)*ありがとうございました。
