lineno,value
01,*皆(みな)*さん、こんにちは。*私(わたし)*は*張(ちょう)*と*申(もう)し*ます。
02,*今日(きょう)*は、とても*面白(おもしろ)い*アプリを*紹介(しょうかい)し*ます。
03,*皆(みな)*さん、『ねこあつめ』を*聞(き)いた*ことがありますか？
04,このゲームの*中(なか)*で、プレイヤーは*自分(じぶん)*の*家(いえ)*の*庭先(にわさき)*に*餌(えさ)*とおもちゃとグッズを*置(お)いて*、*猫(ねこ)*が*来(く)る*のを*待(ま)ち*ます。
05,*猫缶(ねこかん)*を*食(た)べたり*、おもちゃで*遊(あそ)んだり*、クッションの*上(うえ)*で*寝(ね)たり*、いろいろな*猫(ねこ)*が*現(あらわ)れ*ます。
06,*猫(ねこ)*は*遊(あそ)んだ**後(あと)*で、お*礼(れい)*に「にぼし」を*置(お)いて*いき、プレイヤーはもっとグッズを*買(か)って*、*庭先(にわさき)*を*拡張(かくちょう)する*ことができます。
07,このゲームの*絵(え)*は*可愛(かわい)くて*、*沢山(たくさん)**時間(じかん)*がかかりません。
08,どんな*猫(ねこ)*が*現(あらわ)れる*か*楽(たの)しみ*にしているだけで、*忙(いそが)しい**日々(ひび)*の*生活(せいかつ)*の*中(なか)*でも、*心(こころ)*が*癒(い)やされ*ます。
09,それに、*実写映画(じっしゃえいが)*『ねこあつめの*家(いえ)*』が*来月(らいげつ)*に*公開(こうかい)**予定(よてい)*です。
10,どんな*映画(えいが)*なのか、*私(わたし)*はとても*気(き)*になります。
11,*皆(みな)*さん、ストレスが*貯(た)まって*いたら、*猫(ねこ)*を*一緒(いっしょ)*に*集(あつ)め*ましょう。
12,ご*清聴(せいちょう)*ありがとうございました。
