lineno,value
01,*皆(みな)*さんこんにちは、*私(わたし)*は*沈(ちん)*と*申(もう)し*ます。
02,*今回(こんかい)**紹介(しょうかい)し*たい*作品(さくひん)*は『りゅうおうのおしごと！』というラノベです。
03,『りゅうおうのおしごと！』は「このライトノベルがすごい！ 2017」で*一位(いちい)*を*獲得(かくとく)した*ことで、*人気(にんき)*が*上昇(じょうしょう)し*つつあります。（ちなみに、*去年(きょねん)*の*一位(いちい)*は『やはり*俺(おれ)*の*青春(せいしゅん)*ラブコメが*間違(まちが)って*いる』でした）
04,*私(わたし)*は*大学生(だいがくせい)*になって*以来(いらい)*、*滅多(めった)に*ラノベを*読(よ)んだ*ことはないが、その*本(ほん)*の*表紙(ひょうし)*にかわいいロリが*画(か)いて*あって、うっかりと*買(か)って*しまいました。
05,*最初(さいしょ)*は「*内容(ないよう)*はどうでもいい、ロリさえいればいい」と*思(おも)って*、*本(ほん)*のタイトルの*意味(いみ)*すらわかりませんでした。
06,*実際(じっさい)*に*読(よ)んで*みたら、この*本(ほん)*は*将棋(しょうぎ)*に*自分(じぶん)*のすべてを*捧(ささ)げる**少年少女(しょうねんしょうじょ)*の*物語(ものがたり)*と*気(き)づいて*、そして「*竜王(りゅうおう)*」は*将棋(しょうぎ)*タイトルの*中(なか)*の、「*名人(めいじん)*」と*並(なら)ぶ*、*将棋界(しょうぎかい)*の*頂(いただき)*です。
07,*物語(ものがたり)*の*始(はじ)まり*は、*十六歳(じゅうろくさい)*の*天才少年(てんさいしょうねん)*&ndash;&ndash;*九頭竜(くずりゅう)**八一(やいち)*が*既(すで)に**頂点(ちょうてん)*に*立(た)って*いました。すなわち、*彼(かれ)*は「*竜王(りゅうおう)*」を*獲得(かくとく)して*、タイトル*保持者(ホルダー)*となりました。
08,しかし、それから、*彼(かれ)*は*心構(こころがま)*えが*足(た)り*なくて、「*竜王(りゅうおう)*」という*重(おも)さ*に*圧迫(あっぱく)*されて、*連戦連敗(れんせんれんぱい)して*、*今(いま)や**心(こころ)*が*押(おし)しつぶさ*れてしまうところでした。
09,*幸(さいわ)い*、こんな*羽目(はめ)*に*陥(おちい)った**彼(かれ)*を*救(すく)い**出(だ)す**少女(しょうじょ)*が*現(あらわ)れ*ました。
10,その*少女(しょうじょ)*は*雛鶴(ひなつる)*あいというJSです。*少女(しょうじょ)*は*竜王戦(りゅうおうせん)*で、*彼(かれ)*の*戦(たたか)った**姿(すがた)*を*見(み)て*、*彼(かれ)*に*憧(あこが)れ**始(はじ)めて*、*彼(かれ)*の*弟子(でし)*になろうと*思(おも)って*いました。
11,そして、*熱意(ねつい)*を*持(も)つ**少女(しょうじょ)*がついに*一人(ひとり)*で*少年(しょうねん)*の*家(いえ)*へ*辿(たど)り**着(つ)き*ました。
12,*最初(さいしょ)*、*少年(しょうねん)*は*少女(しょうじょ)*を*拒絶(きょぜつ)する*つもりでしたが、*実際(じっさい)に**彼女(かのじょ)*と*将棋(しょうぎ)*を*指(さ)して*、*彼女(かのじょ)*の*才能(さいのう)*を*感心(かんしん)して*、つい*彼女(かのじょ)*が*弟子(でし)*になりました。
13,そして、*弟子(でし)*を*取(と)った**少年(しょうねん)*が*弟子(でし)*の*憧(あこが)れ*を*背負(せお)って*、やっと*再(ふたた)び**立(た)ち**上(あ)がり*ました。
14,ここからは*将棋(しょうぎ)*をめぐる*少年少女(しょうねんしょうじょ)*と*共(とも)に**成長(せいちょう)する**物語(ものがたり)*です。
15,この*本(ほん)*について*私(わたし)*が*一番(いちばん)**好(す)きな*のは、*棋士(きし)*に*関(かん)する**心理(しんり)**描写(びょうしゃ)*です。*才能(さいのう)*があろうとなかろうと、*棋士(きし)*たちは*何(なに)もかも*を*将棋(しょうぎ)*に*捧(ささ)げて*、*戦(たたか)って*、*時々(ときどき)**挫折(ざせつ)して*、それでも*続(つづ)けて*、「*心(こころ)*が*折(お)れ*ない*限(かぎ)り*は*負(ま)け*じゃない」という*言葉(ことば)*を*身(み)*につけている*存在(そんざい)*です。
16,*私(わたし)*は*嘗(かつ)て**囲碁(いご)*をやっていましたから、そんな*気持(きも)ち*が*痛(いた)い*ほどわかります。
17,*皆(みな)*さんがロリコンだろうと、*単純(たんじゅん)*に*熱血(ねっけつ)な**物語(ものがたり)*が*好(す)き*だろうと、この*本(ほん)*は*絶対(ぜったい)*お*薦(すす)め*です。*将棋(しょうぎ)*が*分(わ)から*なくてもこの*本(ほん)*の*面白(おもしろ)さ*を*十分(じゅうぶん)に**楽(たの)しむ*ことができます。*第五巻(だいごかん)*まで*読(よ)み**終(お)わった**私(わたし)*も*未(いま)だに**将棋(しょうぎ)*のルールを*覚(おぼ)えて*いないんですから。
18,*以上(いじょう)*です。ご*清聴(せいちょう)*ありがとうございます。
