lineno,value
01,*皆(みな)*さん、こんにちは。
02,*今日(きょう)*は、*最近(さいきん)**私(わたし)*がはまっている*番組(ばんぐみ)*を*紹介(しょうかい)し*たいと*思(おも)い*ます。
03,NHKの*放送(ほうそう)*90*年(ねん)*を*記念(きねん)する*ために、「アジア*巨大(きょだい)**遺跡(いせき)*」と*題(だい)して*、*秦(しん)*の*歴史(れきし)*の*謎(なぞ)*を*明(あ)かす**番組(ばんぐみ)*です。
04,*実(じつ)は*、これはテーマとして*少々(しょうしょう)**難(むずか)し*すぎるかなぁと*悩(なや)んで*いるけど、この*番組(ばんぐみ)*を*分(わ)かち**合(あ)う*ために、やはり*試(こころ)みて*みたいです。
05,*皆(みな)*さんは*秦(しん)*に*関(かん)する**歴史(れきし)*をよくご*存知(ぞんじ)*でしょうか？
06,*中国(ちゅうごく)*で、そして*世界(せかい)*でも*初(はじ)めて*の*統一(とういつ)**国家(こっか)*として、*始皇帝(しこうてい)*の*偉業(いぎょう)*は*重要(じゅうよう)な**意味(いみ)*を*持(も)つ**出来事(できごと)*でした。
07,*一体(いったい)*なぜ、こんなに*広大(こうだい)な**中国(ちゅうごく)*を*一(ひと)つ*に*束(たば)ねられる*のですか？
08,*番組(ばんぐみ)*の*案内役(あんないやく)*の*解説(かいせつ)*によって、*原因(げんいん)*は*三(みっ)つ*あります。
09,まず*一(ひと)つ**目(め)*、ピラミッド*状(じょう)*の*官僚(かんりょう)**制度(せいど)*、いわゆる「*中央集権化(ちゅうおうしゅうけんか)*」のおかげで、ばらばらだった*地域(ちいき)*を*管理(かんり)する*ことが*可能(かのう)*になりました。
10,*二(ふた)つ**目(め)*は、*秦(しん)*が*中国(ちゅうごく)*を*統一(とういつ)する**前(まえ)*は、*通貨(つうか)*だけではなく*長(なが)さ*や*重(おも)さ*の*単位(たんい)*、そして*文字(もじ)*など、*全(すべ)て*は*国(くに)*によって*異(こと)なって*いました。
11,これは*国(くに)*の*統一(とういつ)*の*障害(しょうがい)*だと*考(かんが)えた*ため、*始皇帝(しこうてい)*は*一(ひと)つ*の*基準(きじゅん)*を*採用(さいよう)する*ことにしました。
12,そして*三(みっ)つ**目(め)*、*統一(とういつ)した**直後(ちょくご)*、*始皇帝(しこうてい)*は*全国(ぜんこく)*を*回(まわ)り*ました。
13,*暴力的(ぼうりょくてき)な**圧迫(あっぱく)*ではなく、*当地(とうち)*の*文化(ぶんか)*や*信仰(しんこう)*を*尊重(そんちょう)する**姿勢(しせい)*を*示(しめ)す**懐柔策(かいじゅうさく)*でした。
14,こういう*手段(しゅだん)*で、こんな*凄(すご)い**帝国(ていこく)*を*建(た)てられる*というわけですよね。
15,*時間(じかん)*が*限(かぎ)られる*せいで、*内容(ないよう)*を*簡単(かんたん)に**解説(かいせつ)する*しかありません。
16,もしこの*番組(ばんぐみ)*の*内容(ないよう)*を*詳(くわ)しく**分(わ)かり*たい*方(かた)*はございましたら、*下(した)*のURLに*通(つう)じて**歴史(れきし)*の*美(うつく)しさ*に*浸(ひた)り*ましょう！
>>,"<a class=""btn btn-danger"" href=""https://drive.google.com/open?id=0B-J53jON0Gj0LWtqRGJuaWs4MDA"" target=""_blank"" role=""button"">詳しくはこちら！</a>"
