lineno,value
01,*皆(みな)*さん、こんにちは。*私(わたし)*は*謝(しゃ)*と*申(もう)し*ます。
02,*実(じつ)は*、どんなテーマを*発表(はっぴょう)し*ようかと、ずっと*考(かんが)えて*いました。
03,*最終的(さいしゅうてき)に*、*声優(せいゆう)*のことが*好(す)きな*ので、そのテーマを*紹介(しょうかい)する*ことを*決(き)め*ました。
04,それでは、*発表(はっぴょう)させ*ていただきます。
05,*声優(せいゆう)*は、*映像(えいぞう)**作品(さくひん)*や*音声(おんせい)**作品(さくひん)*に、*声(こえ)*の*出演(しゅつえん)*をする*俳優(はいゆう)*のことです。アニメではしばしばキャラクターボイス、*略(りゃく)して*CVと*言(い)い*ます。
06,*声優(せいゆう)*の*仕事(しごと)**内容(ないよう)*はアニメや、ゲームや、テレビ*等(など)*のアフレコとプレスコです。
07,*日本(にほん)*のアニメ*制作(せいさく)**現場(げんば)*ではアフレコが*主流(しゅりゅう)*です。
08,*声優(せいゆう)*の*中(なか)*で、*私(わたし)*の*一番(いちばん)**好(す)きな**声優(せいゆう)*は*釘宮(くぎみや)**理恵(りえ)*さんです。
09,*釘宮(くぎみや)*さんは*日本(にほん)*の*女性(じょせい)**声優(せいゆう)*で、*所属(しょぞく)**事務所(じむしょ)*はアイムエンタープライズです。
10,『*灼眼(しゃくがん)*のシャナ』シリーズのシャナを*始(はじ)め*、『ゼロの*使(つか)い**魔(ま)*』シリーズのルイズと、『ハヤテのごとく！』シリーズの*三千院(さんぜんいん)*ナギと、『とらドラ！』の*逢坂(おうさか)**大河(たいが)*と、『*緋弾(ひたま)*のアリア』*神崎(かんざき)*・H・アリアはツンデレのヒロインなので、「ツンデレの*女王(じょおう)*」と*言(い)う**異名(いみょう)*もあります。
11,ちなみに、「ツンデレ」というこの*萌(もえ)*の*要素(ようそ)*はご*存知(ぞんじ)*ですか？
12,「ツンデレ」は*普段(ふだん)*ツンと*澄(す)ました**態度(たいど)*を*取(と)る*が、ある*条件下(じょうけんか)*では*特定(とくてい)*の*人物(じんぶつ)*に*対(たい)して*デレデレといちゃつきます。
13,そのロリとツンデレな*声(こえ)*は、*私(わたし)*にとって、*心(こころ)*の*栄養(えいよう)*と*言(い)って*も*過言(かごん)*ではありません。
14,*皆(みな)*さん、*時間(じかん)*があれば、ぜひ*釘宮(くぎみや)*さんの*声(こえ)*を*聞(き)いて*ください。
15,ご*清聴(せいちょう)*ありがとうございました。
