lineno,value
01,*皆(みな)*さん、こんにちは。*侯(こう)*と*申(もう)し*ます。*数日間(すうじつかん)*さまざまなテーマを*考(かんが)えた**結果(けっか)*、やはり*自分(じぶん)*が*一番(いちばん)**楽(たの)しんで*、*分(わ)かち**合(あ)い*たいことがいいので、今回のテーマに*決(き)め*ました。
02,*前年(ぜんねん)*の*夏休(なつやす)み*から、*日本(にほん)*の*旅(たび)*のために*一生懸命(いっしょうけんめい)*バイトして、*貯金(ちょきん)し*ました。そして、*初(はじ)めて**一人(ひとり)*で*日本(にほん)*に*行(い)き*ましたから、*真面目(まじめ)に**詳(くわ)しい**旅行計画(りょこうけいかく)*に*取(と)り**組(く)み*ました。
03,*最初(さいしょ)*の*思(おも)い**出(で)*は*大切(たいせつ)な*ので、*毎日毎日(まいにちまいにち)*ネットで*情報(じょうほう)*を*調(しら)べて*、*地図(ちず)*とコースを*確認(かくにん)し*ました。ちょっと*辛(つら)かった*ですが、*今(いま)**振(ふ)り**返(かえ)って*みると、*少(すこ)し*の*大変(たいへん)さ*も*貴重(きちょう)な**旅(たび)*において*価値(かち)*のあるものになりました。
04,この*半年間(はんとしかん)*で3*回(かい)**日本(にほん)*に*旅行(りょこう)し*ました。この「*三(さん)*」はわたしにとって、ただの*数(かず)*ではありません。
05,*毎回(まいかい)*の*旅行(りょこう)*を*通(つう)じて*、*多(おお)く*の*観光名所(かんこうめいしょ)*に*行(い)った*のはもちろん、たくさんの*国(くに)*の*人(ひと)*も*会(あ)って**友達(ともだち)*になったり、*皆(みんな)*が*今回(こんかい)*の*旅行(りょこう)*をした*理由(りゆう)*も*聞(き)いたり*しました。
06,*旅行(りょこう)*の*間(あいだ)*、たくさんの「*初(はじ)めて*」を*経験(けいけん)し*ました。*初(はじ)めて**雪(ゆき)*を*見(み)たり*、*初(はじ)めて**居酒屋(いざかや)*に*行(い)ったり*、*初(はじ)めて*もっと*台湾(たいわん)*のことを*紹介(しょうかい)*できるようになったりしました。
07,それに、*今年(ことし)**福岡(ふくおか)*に*行(い)く**前(まえ)*に、*宗生(むねお)*という*同(おな)い**年(どし)*の*大学生(だいがくせい)*とネットで*知(し)り**合(あ)い*、*私(わたし*が*空港(くうこう)*に*着(つ)いて*から*一緒(いっしょ)*に*大宰府(だざいふ)*に*参拝(さんぱい)する*ことを*約束(やくそく)し*ました。
08,*一緒(いっしょ)*にいた*時間(じかん)*はただ*4時間(よじかん)*ぐらいでしたが、*時間(じかん)*は*早(はや)く**過(す)ぎて*、*気(き)づいたら*、もうお*別(わか)れ*の*時間(じかん)*になりました。
09,そのまま、*感謝(かんしゃ)*の*気持(きも)ち*を*持(も)って*、この*後(あと)*の*旅行(りょこう)*を*続(つづ)け*ました。
10,*九州(きゅうしゅう)*の*旅(たび)*が*終(お)わった*1ヶ*月(げつ)**後(ご)*、*宗生(むねお)*くんは*友達(ともだち)*と*台湾(たいわん)*へ*旅行(りょこう)*に*来(き)*ました。*私(わたし)*は*一緒(いっしょ)*に*台北(たいぺい)*を*遊(あそ)んで**回(まわ)ら*ないかと*誘(さそ)われ*ました。
11,*丸(まる)**三日間(みっかかん)*は*朝(あさ)*から*夜中(よなか)*まで*喋(しゃべ)ったり*、*大好(だいす)きな*タピオカを*度々(たびたび)*オススメしたりして、まるで*親友(しんゆう)*のようにお*互(たが)い*をよく*知(し)る*ことができました。
12,*世界(せかい)*って、すごく*大(おお)きい*というイメージを*持(も)って*いましたけど、*実際(じっさい)*に*人々(ひとびと)*の*間(あいだ)*には*見(み)え*ない*運命(うんめい)*の*糸(いと)*で*繋(つな)がって*います。
13,やっぱり、もしやりたいことがあるうちに、やらないなら、*夢(ゆめ)*は叶うわけがないんだと*思(おも)い*ました。
14,ですから、その*時(とき)*に*果敢(かかん)*にチケットを*予約(よやく)した**決定(けってい)*は*正(ただ)しかった*です。
15,*以上(いじょう)*です。ご*清聴(せいちょう)*いただきありがとうございました。
