lineno,value
01,*皆(みな)*さん、こんにちは。*廖(りょう)*と*申(もう)し*ます。*今日(きょう)*のテーマは*日本(にほん)*のボランティアの*感想(かんそう)*です。
02,*今年(ことし)*の*冬休(ふゆやす)み*、*雪(ゆき)*をみたくて*日本(にほん)*へ*行(い)き*ました。*日本語力(にほんごりょく)*のレベルアップのためでもあります。
03,*私(わたし)*はいつも*素晴(すば)らしい*アップル*先生(せんせい)*の*授業(じゅぎょう)*を*受(う)けて*いますが、*実(じつ)は*この*冬(ふゆ)*までにあまり*日本人(にほんじん)*と*話(はな)した*ことがありませんでした。
04,しかし、「*頼(たの)もしい**親友(しんゆう)*のソフィさんがついているから、*多分(たぶん)**大丈夫(だいじょうぶ)*！」と*思(おも)って*いて、*心配(しんぱい)し*ないで*行(い)き*ました。
05,こんなひどい*状態(じょうたい)*でボランティアの*場所(ばしょ)*へ*行(い)く*と、*仕事場(しごとば)*の*人(ひと)*に*迷惑(めいわく)*をかけてしまうことがだいたい*想像(そうぞう)*できました。
06,もし*皆(みんな)*が*速(はや)い*スピードで*喋(しゃべ)ったら*、*全然(ぜんぜん)**理解(りかい)でき*なくて、*面白(おもしろ)*そうな*事(こと)*は、*私(わたし)*にとって*寂(さび)しい**事(こと)*になってしまいました。
07,もっとちゃんと*日本語(にほんご)*を*勉強(べんきょう)すれば**良(よ)かった*と*思(おも)い*ました。でも、タラレバ*話(ばな)し*をしてもどうにもならないです。
08,*幸(さいわ)い*、*会(あ)った**人(ひと)*は*全員(ぜんいん)**優(やさ)しかった*し、*私(わたし)*にゆっくり*話(はな)し*、*気(き)*を*使(つか)って*くれました。
09,たまに*皆(みんな)*の*会話(かいわ)*を*聞(き)き**取(と)る*ことができたので、*少(すこ)し**自身(じしん)*が*生(う)まれ*ました。
10,あるひとつのボランティアどころは*丘(おか)*の*上(うえ)*にある*民宿(みんしゅく)**兼(けん)**料理教室(りょうりきょうしつ)*でした。
11,*毎朝(まいあさ)**起(お)きる*と、*部屋(へや)*の*窓越(まどご)し*に*広(ひろ)がる**雪景色(ゆきげしき)*を*眺(なが)め*、キラキラ*日差(ひざ)し*を*浴(あ)びる**森林(しんりん)*を*見(み)て*、*心(こころ)*が*癒(い)やされ*ました。
12,*毎日(まいにち)**美味(おい)しい**料理(りょうり)*を*作(つく)ったり*、そりで*丘(おか)*を*滑(すべ)り**降(お)りたり*、*温泉(おんせん)*に*入(い)れたり*して、とても*幸(しあわ)せ*でした。
13,*楽(たの)しい**事(こと)*が*沢山(たくさん)*できてたから、*苦(くる)しい**思(おも)い**出(で)*を*忘(わす)れ*ようと*思(おも)い*ます。*日本(にほん)*へ*行(い)って*、*親切(しんせつ)な**方々(かたがた)*に*出会(であ)えて**本当(ほんとう)に**良(よ)かった*です。
14,*以上(いじょう)*です。ご*清聴(せいちょう)*ありがとうございました。
