lineno,value
01,こんにちは、*私(わたし)*は*邱(きゅう)*と*申(もう)し*ます。よろしくお*願(ねが)い*します。
02,*皆(みな)*さん、ビーチクリーニングの*経験(けいけん)*がありますか？*先月(せんげつ)*の*週末(しゅうまつ)*はルムメイトの*誘(さそ)い*で南寮でビーチクリーニングに*行(い)き*ました。
03,*初(はじ)めて*のビーチクリーニング*体験(たいけん)*であったので、*話(はな)し*たいと*思(おも)い*ます。
04,*知(し)ら*ない*人(ひと)*と*一緒(いっしょ)に*ごみを*拾(ひろ)って**捨(す)て*ました。いろいろな*大(おお)きな*ごみを*発見(はっけん)し*ました、*石(いし)*のような*発泡(はっぽう)スチロール*とか、*漁網(ぎょもう)*とか。
05,*朝(あさ)*から*昼(ひる)*までやっても、*全(すべ)て*のごみの*回収(かいしゅう)*はできませんでした。でも、この*団体(だんたい)*の*理念(りねん)*を*皆(みんな)*には*伝(つた)え*られると*思(おも)い*ます。
06,*海岸(かいがん)*を*清掃(せいそう)*した*後(あと)*で、*私(わたし)*は*海岸(かいがん)*を*取(と)り**巻(ま)く**環境(かんきょう)*が*悪(わる)く*なった*主(おも)な**理由(りゆう)*は*観光客(かんこうきゃく)*がゴミを*残(のこ)した*ためだけではなく、*社会(しゃかい)**全体(ぜんたい)*が*原因(げんいん)*だと*思(おも)い*ました。
07,*今(いま)*、*自分(じぶん)*のごみの*分量(ぶんりょう)*を*減(へ)らす*ように*試(こころ)みて*います。*例(たと)えば*、*使(つか)い**捨(す)て**食器(しょっき)*は*便利(べんり)*ですが、*環境(かんきょう)*には*悪(わる)い*です。
08,ですから、*地球(ちきゅう)*を*守(まも)る*ために、*毎日(まいにち)**自分(じぶん)*の*食器(しょっき)*と*水筒(すいとう)*を*持(も)って*います。しかし、*多(おお)く*の*人(ひと)*は*自分(じぶん)*の*食器(しょっき)*を*持参(じさん)する*のが*面倒(めんどう)くさい**事(こと)*と*思(おも)い*ます。
09,この*活動(かつどう)*を*通(とお)して*、*環境(かんきょう)*の*大切(たいせつ)さ*が*分(わ)かる*ようになりました。
10,このイベントが*行(おこな)われた**団体(だんたい)*は寶島淨鄉團です。*次(つぎ)*のイベントは台北や宜蘭であるので、*興味(きょうみ)*がある*方(かた)*は*参加(さんか)し*てください。
11,*以上(いじょう)*です。ご*清聴(せいちょう)*ありがとうございました。
