lineno,value
01,*皆(みな)*さんこんにちは、*今日(きょう)*は*台湾(たいわん)*のドラマを*一(ひと)つ**紹介(しょうかい)し*ます。
02,*皆(みな)*さんは『*夜(よる)*がきました、*眠(ねむ)り*についてください』というドラマを*聞(き)いた*ことがありますか？*有名(ゆうめい)な*ゲーム『*汝(なんじ)*は*人狼(じんろう)*なりや？』の*台詞(せりふ)*です。
03,この*間(あいだ)*、そのゲームを*番組名(ばんぐみめい)*と*題(だい)して*、スリラードラマが*放映(ほうえい)され*ました。
04,*私(わたし)*はめったにドラマを*見(み)*ないのですが、*特別(とくべつ)な*ドラマなので、*見(み)て*みようと*思(おも)って*いました。
05,ストーリーの*主人公(しゅじんこう)*は*八人(はちにん)*の*登山部(とざんぶ)**部員(ぶいん)*で、*高校時代(こうこうじだい)*に*埋(う)めた*タイムカプセルを*発掘(はっくつ)する*ために、*卒業(そつぎょう)して**十年(じゅうねん)*ぶりに*山(やま)*の*上(うえ)*にある*民宿(みんしゅく)*で*再会(さいかい)し*ました。
06,でも、*忘年会(ぼうねんかい)*のきっかけは*事故(じこ)*が*起(お)きる*に*連(つ)れて**複雑(ふくざつ)*になっていき、それはどうも*昔(むかし)*のスキャンダルに*関(かん)する*ことのようでした。
07,それであいにく*台風(たいふう)*で*道路(どうろ)*が*閉(と)ざされ*、*電波(でんぱ)*も*届(とど)か*ず、*外部(がいぶ)*と*連絡(れんらく)*ができません。
08,*舞台(ぶたい)*となる「*雪(ゆき)*の*山荘(さんそう)*」で、*困(こま)った**主人公(しゅじんこう)*たちは*自分(じぶん)*の*努力(どりょく)*に*頼(たよ)る*よりほかなく、とうとう*犯人(はんにん)*を*見(み)つけ*ました。
09,ネタバレしないように、*簡単(かんたん)に**感想(かんそう)*をシェアします。
10,まず、ドラマの*雰囲気(ふんいき)*が*漂(ただよ)って*いて、*観客(かんきゃく)*をいつも*緊張(きんちょう)させ*ていました。
11,そして、*友達(ともだち)*の*死因(しいん)*を*調(しら)べる*ために、*森(もり)*の*中(なか)*をずっと*走(はし)る*のは、*芸能人(げいのうじん)*にとってとても*大変(たいへん)*だろうと*思(おも)い*ました。
12,それから、*八(やっ)つ*の*色(いろ)*によって*八人(はちにん)*の*名前(なまえ)*を*付(つ)けた*のは*面白(おもしろ)*いと*思(おも)い*ました。
13,*残念(ざんねん)な*ことに、*糸口(いとぐち)*が*足(た)り*ず、*結末(けつまつ)*は*推理(すいり)でき*ませんでした。
14,とにかく、これは*台湾(たいわん)*ドラマにおいて*大(おお)きな**進歩(しんぽ)*で、*今後(こんご)*いろいろなタイプのドラマが*出(で)て*くれるのを*楽(たの)しみ*にしています。
15,ご*清聴(せいちょう)*ありがとうございました。
