lineno,value
01,*皆(みな)*さん、こんにちは。*私(わたし)*は*程(てい)*と*申(もう)し*ます。*今日(きょう)*は*私(わたし)*の*憧(あこが)れ*の*人(ひと)*について*話(はな)し*たいと*思(おも)い*ます。
02,アイドルと*言(い)ったら*、*皆(みな)*さんはどんなイメージを*持(も)って*いますか？
03,*今日(きょう)*の*話(はなし)*は*有名(ゆうめい)な**歌手(かしゅ)*や*俳優(はいゆう)*に*関(かん)する*ことではなくて、かっこいい*運動選手(うんどうせんしゅ)*です。 
04,*私(わたし)*は*大学(だいがく)*の*時(とき)*から*中国(ちゅうごく)**武術(ぶじゅつ)*の*部活(ぶかつ)*に*入(はい)って*いて、*武術(ぶじゅつ)*の*中(なか)*でも、いろいろな*理由(りゆう)*から、「*棍術(こんじゅつ)*」が*一番(いちばん)**好(す)きな*んです。 
05,*部活(ぶかつ)*を*押(お)し**広(ひろ)める*ために*私(わたし)*たちは*多(おお)く*の*試合(しあい)*と*出演(しゅつえん)*に*参加(さんか)し*ました。 
06,ある*日(ひ)*、*出場(しゅつじょう)*の*準備(じゅんび)**途中(とちゅう)*に孫培原*選手(せんしゅ)*の*試合(しあい)**動画(どうが)*を*見(み)て*、*目(め)*が*離(はな)せ*なくなって、*深(ふか)く**印象(いんしょう)*に*残(のこ)り*ました。 
07,*中国(ちゅうごく)**武術(ぶじゅつ)*の*表現方法(ひょうげんほうほう)*については、*伝統(でんとう)*と*競技(きょうぎ)*と、どちらの*方(ほう)*を*重視(じゅうし)す*べきか、いつも*議論(ぎろん)*になっています。
08,ある人は、「*武術(ぶじゅつ)*というものは、*実用性(じつようせい)*が*一番(いちばん)**大切(たいせつ)*だ。ほかの*見(み)た**目(め)*の*美(うつく)しさ*の*演技(えんぎ)*は*偽物(にせもの)*だ」と*言(い)い*、またある*人(ひと)*は、「*普通(ふつう)*にやったとしたら、*誰(だれ)*が*見(み)*たいと*言(い)う*のか」と*主張(しゅちょう)し*ます。
09,ですが、*競技武術(きょうぎぶじゅつ)*で*明(あき)らかな**難(むずか)しい**技(わざ)*はたくさんあり、*試合(しあい)*では*優勢(ゆうせい)*でも、もっと*選手(せんしゅ)*はただ*表現(ひょうげん)*の*美(うつく)しさ*や*速度(そくど)*に*重点(じゅうてん)*を*置(お)いて**競(きそ)う*ので、「雑技（アクロバット）ではないか」と*笑(わら)われ*ます。 
10,しかし*競技武術(きょうぎぶじゅつ)*の*選手(せんしゅ)*として、孫培原は*違(ちが)い*ます。
11,*伝統武術(でんとうぶじゅつ)*の*表現(ひょうげん)*を*結(むす)び**付(つ)けて*、*彼(かれ)*の*出演(しゅつえん)*を*見(み)る*と「すごいじゃぁん！でも*何(なに)*が*失(うしな)われ*そうだ」という*感(かん)じ*がしません。
12,*特(とく)に**棍(こん)*を*使(つか)*う*時(とき)*、*見(み)え*ないくらい*振(ふ)る*のが*速(はや)い*ので、*彼(かれ)*と*棍(こん)*が*一(ひと)つ*になったようだと*思(おも)い*ます。
13,３*年前(ねんまえ)**中国(ちゅうごく)*から*武術(ぶじゅつ)**代表(だいひょう)*チームが*台湾(たいわん)*に*出演(しゅつえん)し*に*来(き)て*、孫培原*選手(せんしゅ)*も*来(き)*ました。
14,そのイベントは*台中(たいちゅう)*で*行(おこな)われ*ました。
15,*素晴(すば)らしい**演技(えんぎ)*を*自分(じぶん)*の*目(め)*で*見(み)られ*て、*本当(ほんとう)に**良(よ)かった*と*思(おも)い*ます。 
16,でも*彼(かれ)*と*一緒(いっしょ)*に*写真(しゃしん)*を*撮(と)る*ことができなくて*残念(ざんねん)*でした ｡
17,*以上(いじょう)*です、ご*清聴(せいちょう)*ありがとうございました！
