lineno,value
01,*皆(みな)*さん、こんにちは。*黄(こう)*と*申(もう)し*ます。*本日(ほんじつ)*のテーマは*私(わたし)*が*犬(いぬ)*を*嫌(いや)がる**理由(りゆう)*です。
02,*皆(みな)*さんにとって、*犬(いぬ)*はとても*可愛(かわい)い*ものかもしれません。でも、*私(わたし)*とある*人(ひと)*にとっては、*犬(いぬ)*は*大変(たいへん)**怖(こわ)かった*です。
03,*私(わたし)*は、*今(いま)*でも*犬(いぬ)*を*恐(おそ)れて*います。では、どうしてそうなったのか、それを*今回(こんかい)*お*話(はな)し*したいと*思(おも)い*ます。
04,ある*日(ひ)*、*親(おや)*と*犬(いぬ)*を*飼(か)って*た*親戚(しんせき)*の*家(いえ)*へ*行(い)き*ました。その*犬(いぬ)*は*全(すべ)て*の*悲劇(ひげき)*の*始(はじ)まり*でした。
05,*悪戯好(いたずらず)きだった**自分(じぶん)*の*指(ゆび)*を*犬(いぬ)*の*方(ほう)*へ*伸(の)ばし*ました。その*時(とき)*、*私(わたし)*の*指(ゆび)*は*犬(いぬ)*にソーセージと*勘違(かんちが)いされ*たのかもしれません。*指(ゆび)*が*噛(か)まれ*てしまい、*私(わたし)*は*泣(な)いて*しまいました。
06,*母(はは)*は*見(み)る**間(ま)もなく*、すぐに*私(わたし)*を*連(つ)れて**飛(と)び**出(だ)して*、*私(わたし)*は*医者(いしゃ)*に*診(み)て*もらいました。
07,それ*以来(いらい)*、*犬(いぬ)*が*近(ちか)づいたら*、*逃(に)げる*ことにしていました。
08,しかし、*悲劇(ひげき)*はまだ*終(お)わって*なかったのです。
09,*数年後(すうねんご)*、*家(いえ)*の*前(まえ)*に*捨(す)てられ*た*犬(いぬ)*が*現(あらわ)れ*ました。*父(ちち)*は*犬(いぬ)*が*来(く)れば**福(ふく)*も*来(く)る*と*思(おも)い*、その*犬(いぬ)*を*飼(か)う*とにしました。
10,*一日目(いちにちめ)*はいい*子(こ)*のままでした。*二日目(ふつかめ)*は*両親(りょうしん)*がいない*時(とき)*、*急(きゅう)に**私(わたし)*に*向(む)かって**吠(ほ)えて*きました。
11,*不安(ふあん)*と*恐怖(きょうふ)*に*呑(の)み**込(こ)まれ*そうな*私(わたし)*が*泣(な)き*ながら*家(いえ)*で*一番(いちばん)**高(たか)い**所(ところ)*に*上(のぼ)り*ましたが、*竿(さお)*を*持(も)って**振(ふ)れば**振(ふ)る*ほど*犬(いぬ)*がさらに*近(ちか)づいて**来(き)*ました。
12,その*後(ご)*、*結局(けっきょく)*その*犬(いぬ)*は*誰(だれ)か*に*飼(か)って*もらうことになりました。*可哀(かわい)そう*ですが、*私(わたし)*にとっては*最善(さいぜん)な**結果(けっか)*ですした。
13,*以上(いじょう)*が*私(わたし)*が*犬(いぬ)*を*嫌(いや)がる**理由(りゆう)*です。*今(いま)*でも、*特(とく)に**清華大学(せいかだいがく)*には*犬(いぬ)*が*多(おお)い*ので*困(こま)り*ます。
14,*本日(ほんじつ)*のご*清聴(せいちょう)*、*心(こころ)*から*感謝(かんしゃ)*いたします。
