lineno,value
01,*皆(みな)*さん、*私(わたし)*は*中央大学(ちゅうおうだいがく)*の*温(おん)*と*申(もう)し*ます。
02,*今日(きょう)*のテーマは*広島大学(ひろしまだいがく)*の*研修(けんしゅう)*の*感想(かんそう)*です。
03,*今年(ことし)*の*冬休(ふゆやす)み*、*日本語(にほんご)*と*日本文化(にほんぶんか)*の*研修(けんしゅう)*のために、*私(わたし)*は*広島(ひろしま)*へ*行(い)き*ました。
04,*台湾(たいわん)*へ*帰(かえ)る*と、*沢山(たくさん)*の*友達(ともだち)*に「この*間(あいだ)*は*楽(たの)しかった*ですか？」、「*何(なに)か**面白(おもしろ)い**事(こと)*はありましたか？」と*聞(き)かれ*ましたので、*広島大学(ひろしまだいがく)*の*研修(けんしゅう)*について*話(はな)し*たいと*思(おも)い*ます。
05,それでは、*発表(はっぴょう)*させていただきます。
06,この*研修(けんしゅう)*では*色々(いろいろ)な**事(こと)*を*初(はじ)*めて*経験(けいけん)し*ました。
07,*雪(ゆき)*が*降(ふ)ってる**景色(けしき)*を*初(はじ)めて**見(み)て*、*外(そと)*で*遊(あそ)んだ**事(こと)*です。
08,*初(はじ)めて**日本(にほん)*の*学生(がくせい)*と*一緒(いっしょ)*に、*台湾(たいわん)*と*日本(にほん)*のお*互(たが)*い*違(ちが)う**文化(ぶんか)*の*交流(こうりゅう)*をしました。
09,*初(はじ)めて**沢山(たくさん)*の*手作(てづく)り**体験(たいけん)*ができました。*例(たと)えば*、*折(お)り*紙(がみ)*やお*菓子作(かしづく)り*などを*経験(けいげん)し*ました。
10,そして、*全(すべ)て**日本語(にほんご)*で*広島(ひろしま)*の*歴史(れきし)*と*原爆(げんばく)*について、*授業(じゅぎょう)*を*受(うけ)けた**事(こと)*も*初(はじ)めて*です。
11,*研修(けんしゅう)*は*教室(きょうしつ)*で*学(まな)ぶ**事(こと)*だけではなく、*見学(けんがく)*のために、*多(おお)く*の*観光名所(かんこうめいしょ)*にも*行(い)き*ました。
12,*広島城(ひろしまじょう)*と*原爆(げんばく)*ドームに*歴史(れきし)*を*学(まな)び*に*行(い)き*ました。
13,*後(あと)**二日(ふつか)*は*京都研修(きょうとけんしゅう)*で、*清水寺(きよみずでら)*や*金閣寺(きんかくじ)*などに*行(い)*けて、*良(よ)かった*と*思(おも)い*ます。
14,*広島(ひろしま)*での*二週間(にしゅうかん)*は*短(みじか)くて*、*時間(じかん)*が*過(す)ぎる*のが*早(はや)かった*ですが、*多(おお)く*の*日本文化(にほんぶんか)*を*習(なら)って*、*沢山(たくさん)*の*友達(ともだち)*ができて、いい*思(おも)い**出(で)*がいっぱいです。
15,この*間(あいだ)*で*体験(たいけん)した**事(こと)*をきっと*大切(たいせつ)*にします。
16,*以上(いじょう)*です。ご*清聴(せいちょう)*ありがとうございました。
