lineno,value
01,*皆(みな)*さん、こんにちは。*中央大学(ちゅうおうだいがく)*の*左(さ)*と*申(もう)し*ます、よろしくお*願(ねが)い*します。
02,どんなタイプの*歌手(かしゅ)*が*好(す)きな*んですか？*私(わたし)*は*色々(いろいろ)*います。
03,*好(この)み*は*年齢(ねんれい)*を*重(かさ)ねる*につれて*変(か)わって*いってますが、*昔(むかし)*からずっと*気(き)*に*入(い)って*いて、*好(す)きな**気持(きもち)*が*変(か)わら*ない*歌手(かしゅ)*が*一人(ひとり)*います。
04,それは、ジェイ・チョウになります。
05,だから*今日(きょう)*は、ジェイについて*話(はな)し*たいと*思(おも)い*ます。
06,*学生時代(がくせいじだい)*のジェイは、*学校(がっこう)*での*成績(せいせき)*はあまり*良(よ)く*なく、ただ*音楽(おんがく)*に*没頭(ぼっとう)する**日々(ひび)*を*送(おく)って*いました。
07,しかし*努力(どりょく)*がいずれ*実(み)*を*結(むす)び*、*彼(かれ)*の*才能(さいのう)*が*遂(つい)に**掘(ほ)り**起(お)こされ*、2000*年(ねん)*に『JAY』という*同名(どうめい)*アルバムでデビューしました。
08,うちの*兄(あに)*は、そのアルバムを*買(か)って*、*毎日(まいにち)**家(いえ)*で*繰(く)り**返(かえ)して**聴(き)い*ていました。
09,ジェイの*音楽(おんがく)*は*独創性(どくそうせい)*が*溢(あふ)れて*いて、*毎回(まいかい)*の*新作(しんさく)*はファンを*必(かなら)ず**驚(おどろ)かせ*ます。
10,さらに、*音楽(おんがく)*のスタイルも*変化(へんか)*に*富(と)んで*いて*飽(あ)き*ません。
11,ジェイのおかげで、*兄(あに)*と*共通(きょうつう)*の*趣味(しゅみ)*を*持(も)ち*、どんどん*仲良(なかよ)く*なってきました。
12,*今日(きょう)*になっても、そのアルバムを*聴(き)く*たびに、*子供時代(こどもじだい)*のことを*思(おも)い**浮(う)かべ*ます。
13,*私(わたし)*にとって、ジェイはただのアイドルだけではなく、*彼(かれ)*はやはり*時代(じだい)*のシンボルである*存在(そんざい)*だと*思(おも)い*ます。
14,それでは、*一(ひと)つ**情報(じょうほう)*をお*知(し)らせ**致(いた)し*ます。
15,*今年(ことし)*の*九月(くがつ)*にジェイのコンサートが*開催(かいさい)され*ます！
16,もしジェイのことを*好(す)きな**方(かた)*がいれば、よかったら、*一緒(いっしょ)に**見(み)*に*行(い)き*ませんか？
17,ご*清聴(せいちょう)*ありがとうございました。
