lineno,value
01,*皆(みな)*さん、こんにちは。*私(わたし)*は*郭(かく)*と*申(もう)し*ます。
02,この*間(あいだ)*、*高校(こうこう)*に*戻(もど)って*、*歴史(れきし)*の*先生(せんせい)*と*前学期(ぜんがっき)*に*北京(ペキン)**清華大学(せいかだいがく)*での*留学(りゅうがく)**生活(せいかつ)*について*話(はな)し*ました。
03,*私(わたし)*の*話(はなし)*はまとまらなかったけど、*先生(せんせい)*は*私(わたし)*の*話(はなし)*を*通(とお)して*、*台湾(たいわん)*と*中国(ちゅうごく)*の*違(ちが)い*をまとめてくれました。
04,*面白(おもしろ)かった*と*思(おも)う*ので、*皆(みな)*にシェアしたいです。
05,*北京(ペキン)**清華大学(せいかだいがく)*の*雰囲気(ふんいき)*はとても*純粋(じゅんすい)*で、*大体(だいたい)**台湾(たいわん)*の*高校(こうこう)*と*大学(だいがく)*の*間(あいだ)*に*相当(そうとう)する*。おそらく、*勉強(べんきょう)*への*取(と)り**組(く)み*と*関係(かんけい)*があると*思(おも)い*ます。
06,*行(い)く**前(まえ)*に*聞(き)いた**話(はなし)*では、*向(む)こう*の*授業(じゅぎょう)*のスピードは*台湾(たいわん)*の*倍速(ばいはや)い*そうです。*先生(せんせい)*がどんな*速(はや)い*スピードで*授業(じゅぎょう)*をするのか*知(し)り*たかったです。
07,*実際(じっさい)*に*授業(じゅぎょう)*を*受(う)けて*みると、*先生(せんせい)*は*話(はな)す*のが*速(はや)い*のではなく、*生徒(せいと)*の*頭(あたま)*がいいので、*先生(せんせい)*は*教(おし)えた**内容(ないよう)*を*繰(く)り**返(かえ)し*ません。
08,それに、*先生(せんせい)*は*新(あたら)しい**内容(ないよう)*の*要点(ようてん)*を*教(おし)える*だけで、*他(ほか)*の*内容(ないよう)*は*学生(がくせい)*が*自分(じぶん)*で*勉強(べんきょう)し*ます。
09,それに*比(くら)べる*と、*台湾(たいわん)*の*先生(せんせい)*は*前回(ぜんかい)*の*内容(ないよう)*をちょっと*復習(ふくしゅう)し*たり、*沢山(たくさん)*の*例(れい)*をあげたりして、*多(おお)く*の*時間(じかん)*がかかります。
10,*私(わたし)*は*最初(さいしょ)*の*二週間(にしゅうかん)*ぐらい*勉強(べんきょう)し*なかっただけで、もう*授業(じゅぎょう)*を*理解(りかい)*できませんでした。これで*危機感(ききかん)*を*覚(おぼ)え*ました。
11,クラスメートに*追(お)いつく*ために、*予習(よしゅう)**復習(ふくしゅう)*の*習慣(しゅうかん)*をつけました。それは*台湾(たいわん)*ではできなかったことです。
12,ですから、１０*単位(たんい)*しか*取(と)って*ないにもかかわらず、*真面目(まじめ)さ*は*少(すこ)しも**減(へ)って*ません。
13,しかし、*向(む)こう*の*学生(がくせい)*は*平均(へいきん)*２７、２８ぐらいの*単位(たんい)*を*取(と)る*のが*普通(ふつう)*です。*彼(かれ)ら*はさすがエリート*中(なか)*のエリートだと*言(い)う*しかありません。
14,*彼(かれ)ら*は*勉強(べんきょう)する*だけと*言(い)う**訳(わけ)*ではなく、*課外活動(かがいかつどう)*もとても*豊(ゆた)か*です。
15,*私(わたし)*は*弓道部(きゅうどうぶ)*に*入(はい)り*ました。
16,*私(わたし)*は*友達(ともだち)*を*作(つく)る*つもりで、*部活(ぶかつ)*に*参加(さんか)した*ところ、*想像(そうぞう)*と*違(ちが)う*ことに*気付(きづ)き*ました。
17,*台湾(たいわん)*の*部活(ぶかつ)*はサークルと*一緒(いっしょ)*で、*心(こころ)*の*交流(こうりゅう)*が*主(おも)*に*行(おこな)われ*ます。
18,しかし*彼(かれ)ら*は*全然(ぜんぜん)**違(ちが)って*、メンバーは*本当(ほんとう)に*スキルをアップしたいために、*部活(ぶかつ)*に*参加(さんか)し*ます。お*互(たが)い*の*交流(こうりゅう)*は*少(すく)ない*です。
19,どっちがいいとは*言(い)え*ないけど、*文化(ぶんか)*の*違(ちが)い*だと*思(おも)い*ます。でもやっぱり、*少(すこ)し**寂(さみ)しい*と*感(かん)じ*ました。
20,*交換(こうかん)**生活(せいかつ)*の*日々(ひび)*には、まだ*沢山(たくさん)*の*面白(おもしろ)い*ことがありますが、*残念(ざんねん)*ながら、スピーチの*長(なが)さ*に*限(かぎ)り*がありますので、*今日(きょう)*の*紹介(しょうかい)*はこれで*終(お)わり*ます。
21,ご*清聴(せいちょう)*ありがとうございました。
