lineno,value
01,*皆(みな)*さん、こんにちは。*私(わたし)*は*秦(しん)*と*申(もう)し*ます。
02,*今日(きょう)*は*去年(きょねん)*の*家族旅行(かぞくりょこう)*で*一番(いちばん)**印象的(いんしょうてき)*だったことをお*話(はな)し*したいと*思(おも)い*ます。
03,*楽(たの)しい*ことではなく、*恐(おそ)ろしい*ことでした。なぜこんなふうに*言(い)って*るかというと*続(つづ)いて**説明(せつめい)*いたします。
04,*去年(きょねん)*、4*月(がつ)**上旬(じょうじゅん)*にお*花見(はなみ)*に*関西(かんさい)*へ*行(い)き*ました。*八日(はちにち)**間(かん)*の*旅行(りょこう)*で、*神戸(こうべ)*、*奈良(なら)*、*京都(きょうと)*、*大阪(おおさか)*など、*色々(いろいろ)な**所(ところ)*を*見(み)て**回(まわ)り*ました。
05,しかし、おじさんは*仕事(しごと)*で*長(なが)く**休(やす)め*なかったので、おじさんの*家族(かぞく)*は*我々(われわれ)*より*遅(おそ)く**日本(にほん)*へ*来(き)*ました。
06,おじさんの*家族(かぞく)*が*奈良(なら)*の*観光名所(かんこうめいしょ)*へ*行(い)け*なかったのは*本当(ほんとう)に**残念(ざんねん)*だと*思(おも)って*、*奈良(なら)*のお*土産(みやげ)*を*買(か)い*ました。
07,その*日(ひ)*の*夕方(ゆうがた)*に、*私(わたし)*は*母(はは)*とスーツケース、かばん、*沢山(たくさん)*のお*土産(みやげ)*を*持(も)って*、*奈良(なら)*から*京都(きょうと)*へ*行(い)き*ました。
08,*荷物(にもつ)*が*多(おお)*すぎたので、*電車(でんしゃ)*に*乗(の)って*、すぐにパスポートとお*金(かね)*を*入(い)れて*おいた*赤(あか)い*かばんを*網棚(あみだな)*に*載(の)せて*おきました。
09,*京都(きょうと)*に*着(つ)いて*、*電車(でんしゃ)*を*急(いそ)いで**降(お)りた*ので、*網棚(あみだな)*に*載(の)せて*いたかばんを*取(と)り**忘(わす)れて*しまいました。
10,*京都駅(きょうとえき)*を*出(で)た**瞬間(しゅんかん)*、かばんを*持(も)って*いないことに*気(き)づき*ました。
11,それから、*急(いそ)いで**駅員(えきいん)*さんに*助(たす)け*を*求(もと)め*ました。パスポートとお*金(かね)*をなくしたというと、*駅員(えきいん)*さんもびっくりしました。
12,でも、その*電車(でんしゃ)*がまだ*運行中(うんこうちゅう)*で、すぐに*探(さが)す*ことはできないので、*夜(よる)*10*時(じ)**過(す)ぎ*に*来(く)る*ように*言(い)われ*ました。
13,*幸(さいわ)い*なことに、10*時(じ)*ごろもう*一度(いちど)**駅員室(えきいんしつ)*へ*行(い)ったら*、なくしてた*赤(あか)い*かばんが*見(み)つかって*、やっと*安心(あんしん)し*ました。
14,そして、この*予想外(よそうがい)*の*事故(じこ)*が*起(お)きた*ことを*記念(きねん)*に、*京都駅(きょうとえき)**前(まえ)*でかばんの*写真(しゃしん)*を*撮(と)り*ました。
15,それに、あの*日(ひ)*はちょうどエイプリルフールだったので、*家族(かぞく)*はもちろん、*台湾(たいわん)*にいる*友達(ともだち)*にこのことを*言(い)ったら*、みんなに*嘘(うそ)*だと*思(おも)われ*ました。
16,*当時(とうじ)*、*日本語(にほんご)*が*下手(へた)だった**私(わたし)*を*全力(ぜんりょく)*で*助(たす)けて*くれた*駅員(えきいん)*さんのおかげで、もっと*日本(にほん)*が*好(す)き*になりました。
17,*今(いま)*でも、*写真(しゃしん)*を*見(み)る*たびに、*当時(とうじ)**助(たす)けて*くれた*人(ひと)*を*思(おも)い**出(だ)し*ます。もう*一度(いちど)**感謝(かんしゃ)*を*申(もう)し**上(あ)げ*たいです。
18,ご*清聴(せいちょう)*ありがとうございました。
