lineno,value
01,*皆(みな)*さん、こんにちは。*私(わたし)*はショウと*申(もう)し*ます。
02,*今日(きょう)*のテ－マは「*私(わたし)*がアルバイトしている*喫茶店(きっさてん)*」です。それでは、*発表(はっぴょう)*させていただきます。
03,*皆(みんな)*さん、アルバイトしたことがありますか。*多(おお)く*の*大学生(だいがくせい)*はお*小遣(こづか)い*を*稼(かせ)ぐ*ために、*家庭教師(かていきょうし)*をしたり、コンビニでアルバイトをしたりします。
04,*私(わたし)*は*喫茶店(きっさてん)*でアルバイトしています。その*喫茶店(きっさてん)*は*四(よっ)つ*のコンテナで*作(つく)ら*れています。*大(おお)きく*ないですが、*雰囲気(ふんいき)*があります。
05,*時々(ときどき)*いろいろな*個展(こてん)*があるので、*芸術(げいじゅつ)*の*薫陶(くんとう)*を*受(う)ける*ことができます。
06,お*客(きゃく)*さんに*個展(こてん)*を*案内(あんない)*する*時(とき)*、もっと*流暢(りゅうちょう)*に*紹介(しょうかい)*できるように、できるだけ*画家(がか)*の*方(かた)*と*交流(こうりゅう)し*、*絵(え)*について*学(まな)んで*います。
07,ですから、アルバイトに*行(い)く**時(とき)*、どんな*個展(こてん)*があるかを*楽(たの)しみ*にしています。
08,*私(わたし)*にとってこのアルバイトは*仕事(しごと)*だけじゃなく、*多(おお)く*のことを*学(まな)ぶ**場所(ばしょ)*です。
09,*飲(の)み**物(もの)*を*作(つく)る*のに*加(くわ)えて*、*様々(さまざま)な**人(ひと)*と*接(せっ)する*ことができます。*人(ひと)*と*話(はな)す**時(とき)*、*色々(いろいろ)な**情報(じょうほう)*や*経験(けいけん)*を*知(し)る*ことができ、*見聞(けんぶん)*を*広(ひろ)める*ことができます。
10,もし*皆(みな)*さんがゆったりとした*午後(ごご)*が*欲(ほ)しけ*れば、ぜひ、*私(わたし)*がアルバイトしている*喫茶店(きっさてん)*へ*来(き)て*ください。
11,*以上(いじょう)*です。ご*清聴(せいちょう)*ありがとうございました。
