lineno,value
01,*皆(みな)*さん、こんにちは。*鍾(しょう)*と*申(もう)し*ます。
02,もうすぐ*母(はは)*の*日(ひ)*になるんですね。*皆(みな)*さんどんなプレゼントをお*母(かあ)*さんにしようと*思(おも)い*ますか。
03,*日本(にほん)*と*台湾(たいわん)*の*母(はは)*の*日(ひ)*は*同(おな)じ*で、*毎年(まいとし)**五月(ごがつ)**第二(だいに)**日曜日(にちようび)*です。
04,それで、*私(わたし)*の*大切(たいせつ)な**人(ひと)*である*母(はは)*について*話(はな)し*たいと*思(おも)い*ます。
05,じゃ、*発表(はっぴょう)*させていただきます。
06,「*母(かあ)*さん」と*言(い)う**役割(やくわり)*、*私(わたし)たち*のために*全(すべ)て*を*捧(ささ)げ*ますけど、*報(むく)い*は*全然(ぜんぜん)**考(かんが)え*ないので、ずっと*不思議(ふしぎ)*に*思(おも)って*いたんです。
07,*私(わたし)*の*母(はは)*は*料理(りょうり)*がとても*得意(とくい)*で、*私(わたし)*が*新竹(しんちく)*に*来(き)て*からいつも、*母(はは)*の*手料理(てりょうり)*が*懐(なつ)かしんで*います。
08,*子供時代(こどもじだい)**放課後(ほうかご)*、*母(はは)*は*私(わたし)*が*腹(はら)*が*減(へ)った*ことを*考(かんが)えて*、いつもお*菓子(かし)*や*夜食(やしょく)*を*机(つくえ)*の*上(うえ)*に*用意(ようい)して*くれました。
09,*普段(ふだん)*は、*学校(がっこう)*や*生活(せいかつ)**状況(じょうきょう)*について*話(はなし)*です。
10,*度々(たびたび)**母(はは)*は*笑顔(えがお)*で*私(わたし)*を*励(はげ)まし*てくれました。*暖(あたた)かい**感(かん)じ*がいっぱいで、*心(こころ)*が*癒(いや)され*ました。
11,*振(ふ)り**返(かえ)って*みると、*母(はは)*の*恩恵(おんけい)*に*浴(よく)して*いた*私(わたし)たち*。*一生(いっしょう)*をかけるにしても*恩返(おんがえ)しする*ことはできません。
12,*少(すこ)しなくも*、*母(はは)*を*失望(しつぼう)*させない*人(ひと)*になるんです。
13,それは*恩恵(おんけい)*に*報(むく)いる*ための*最良(さいりょう)*の*方法(ほうほう)*だと*思(おも)い*ます。
14,とにかく、*家(うち)*に*帰(かえ)ったら*、「*母(かあ)*さんありがとうございます！」と*話(はな)す*ことを*忘(わす)れ*ないでくださいよ。
15,*以上(いじょう)*です。ご*清聴(せいちょう)*ありがとうございます。
