lineno,value
01,*皆(みな)*さん、こんにちは。*私(わたし)*は*洪(こう)*と*申(もう)し*ます。
02,*今回(こんかい)*、*皆(みな)*さんに*紹介(しょうかい)*させていただきたいのはずっと*尊敬(そんけい)*している*元(もと)*AKB48グループ*総監督(そうかんとく)*の*高橋(たかはし)*みなみさんについてです。
03,いつもAKB48の*話(はなし)*ばかりすることをお*許(ゆる)し*ください。
04,それでは、*発表(はっぴょう)*させていただきます。
05,*高橋(たかはし)*みなみさんは*小(ちい)さい**頃(ころ)*から*歌手(かしゅ)*を*目指(めざ)して*いましたが、*夢(ゆめ)*を*叶(かな)える*までは*決(けっ)して**順風満帆(じゅんぷうまんぱん)*ではなく、*様々(さまざま)な*オーディションに7*回(かい)*も*落選(らくせん)し*ました。
06,*崖(がけ)っぷち**状態(じょうたい)*で、*中学(ちゅうがく)**二年(にねん)*、*最後(さいご)*の*挑戦(ちょうせん)*のつもりで*受(う)けた*のがAKB48のオープニングオーディション。
07,やっとオーディションに*受(う)かった*とはいえ、*実際(じっさい)*には*彼女(かのじょ)*が*合格(ごうかく)した**理由(りゆう)*は「*身長(しんちょう)*は148.5cmで、*誕生日(たんじょうび)*は4月8日で、48の*要素(ようそ)*が*満載(まんさい)*」それだけです。
08,インディーズデビュー*曲(きょく)*のセンターに*抜擢(ばってき)*されたとしても、ダンスができず*落(お)ちこぼれ*だった*高橋(たかはし)*さんはメジャーデビュー*曲(きょく)*からセンターからずれていきました。
09,「*特別(とくべつ)*かわいいわけでも、とびきり*歌(うた)*がうまいわけでもない*私(わたし)*が、どうすればAKB48の*中(なか)*で、*輝(かがや)く*ことが*出来(でき)る*んだろうか」と*彼女(かのじょ)*は*悩(なや)んで*いました。
10,そんな*時(とき)*に、リーダー*的(てき)**役割(やくわり)*を*果(は)たして*いた*折井(おりい)*あゆみというメンバーが*卒業(そつぎょう)して*しまい、*誰(だれ)か*が*彼女(かのじょ)*の*代(か)わり*を*務(つと)め*なければならなくなり、その*状況(じょうきょう)*で*高橋(たかはし)*さんが*思(おも)い切(き)って*このチャンスをつかんでリーダーとしての*一歩(いっぽ)*を*踏(ふ)み**出(だ)し*ました。
11,チームAのキャプテンを*務(つと)めて**以来(いらい)*、メンバーを*叱咤激励(しったげきれい)する*ことはもちろん、AKB48のイベント、*記者会見(きしゃかいけん)**等(など)*においてグループ*全体(ぜんたい)*を*代表(だいひょう)して**挨拶(あいさつ)*やコメントをする*場合(ばあい)*も*大抵(たいてい)**高橋(たかはし)*さんがその*役目(やくめ)*を*負(お)い*ました。
12,*内気(うちき)*で*暗(くら)くて*、*常(つね)に*クラスメートにいじめられてきた*彼女(かのじょ)*が*自分自身(じぶんじしん)*の*努力(どりょく)*で、どんな*場所(ばしょ)*でも、どんな*状況(じょうきょう)*でも、*言葉(ことば)*を*発(はっ)する*ことができるようになっていきました。
13,まさに*彼女(かのじょ)*のそういうところが*一番(いちばん)**尊敬(そんけい)して*いるところです。
14,*夢(ゆめ)*を*叶(かな)える*ためには、*資質(ししつ)*とか*才能(さいのう)*とかそれ*以前(いぜん)*に、*一歩(いっぽ)**踏(ふ)み**出(だ)せる*かどうかということが*一番(いちばん)**大事(だいじ)*だと*彼女(かのじょ)*が*教(おし)えて*くれました。
15,*高橋(たかはし)*みなみさんについて*皆(みな)*さんとシェアしたいことはまだいっぱいありますが、*時間(じかん)*の*都合上(つごうじょう)*ここで*終(お)わり*にしようと*思(おも)い*ます。
16,*私(わたし)*の*発表(はっぴょう)*は*以上(いじょう)*です。*最後(さいご)*までご*清聴(せいちょう)*いただき、ありがとうございました。
