lineno,value
01,*皆(みな)*さん、こんにちは。*私(わたし)*は*于(う)*と*申(もう)し*ます。
02,*今日(きょう)*のテーマは*私(わたし)*と*野球(やきゅう)*の*切(き)って*も*切(き)れ*ない*関係(かんけい)*です。
03,*私(わたし)*は*小学校(しょうがっこう)**時代(じだい)*から、*野球観戦(やきゅうかんせん)*に*行(い)き*ました。でも、*高校(こうこう)*に*入(はい)って*、*野球(やきゅう)*プレイヤーになりました。
04,*一体(いったい)*どの*部活(ぶかつ)*に*入部(にゅうぶ)したら**良(よ)い*のか*考(かんが)えて*いました。
05,*最初(さいしょ)*、*野球部(やきゅうぶ)*の*入部(にゅうぶ)**試験(しけん)*には*参加(さんか)する*つもりだったんですが、*試験(しけん)*に*合格(ごうかく)した*とは*思(おも)わ*なかった。
06,しかし、*振(ふ)り**返(かえ)って*みると、*生(う)まれて*から*始(はじ)めて*の*大切(たいせつ)な**選択(せんたく)*だと*思(おも)い*ます。
07,まだ*高校(こうこう)**一年生(いちねんせい)*で、*守備(しゅび)*も*下手(へた)だった*ので、*毎日(まいにち)**一生懸命(いっしょうけんめい)**練習(れんしゅう)し*ました。
08,*一年(いちねん)*が*経(た)って*、*私(わたし)*はやっと*先発(せんぱつ)*メンバーに*入(はい)り*ました。
09,チームメイトと*一緒(いっしょ)に**勝利(しょうり)*を*目指(めざ)した**経験(けいけん)*が*心(こころ)*に*刻(きざ)み**込(こ)まれ*ました。
10,*野球(やきゅう)*を*通(つう)じて*、いろいろな*人(ひと)*に*知(し)り**合(あ)い*ました。
11,*私(わたし)*にとって、*野球(やきゅう)*はスポーツや*趣味(しゅみ)*だけではなく、*自分(じぶん)*の*信仰(しんこう)*です。
12,*以上(いじょう)*です。ご*清聴(せいちょう)*ありがとうございました。
