lineno,value
01,*皆(みな)*さんこんにちは、*邱(きゅう)*と*申(もう)し*ます。
02,*皆(みな)*さんはもし*現在(げんざい)*の*二倍(にばい)*の*時間(じかん)*を*与(あた)え*られたならば、*今(いま)*の*勉強(べんきょう)**以外(いがい)*に、どんな*特技(とくぎ)*を*伸(の)ばし*たいか*考(かんが)えた*ことはおありですか。
03,*楽器(がっき)*の*演奏(えんそう)*や*言語(げんご)*の*勉強(べんきょう)*、それとも*私(わたし)*と*同(おな)じ*ように、*絵(え)*を*描(か)く*ことでしょうか。
04,*今日(きょう)*は*絵(え)*を*習(なら)い*たい*理由(りゆう)*というテーマで、*皆(みな)*さんにお*話(はな)し*したいと*思(おも)い*ます。
05,では、*発表(はっぴょう)*させていただきます。
06,*去年(きょねん)*、*私(わたし)*は*勉強(べんきょう)*の*合間(あいま)*に、*同人誌(どうじんし)*に*載(の)せる**作品(さくひん)*を*書(か)く*のが*一番(いちばん)**楽(たの)しかった*です。
07,「*同人(どうじん)*」をご*存知(ぞんじ)*でしょうか。
08,*同人(どうじん)*というのは、*自分(じぶん)*が*好(す)きな*キャラや*人物(じんぶつ)*などに*沿(そ)って**文字(もじ)*や*絵(え)*で、*形式(けいしき)*にこだわらず*作品(さくひん)*を*作(つく)る*ことです。
09,*同人誌(どうじんし)*を*作(つく)る*ことになったきっかけは、ネットで*共通(きょうつう)*のゲームを*通(つう)じて**知(し)り**合(あ)った**友達(ともだち)*が*私(わたし)*の*作品(さくひん)*を*見(み)て*、「*一緒(いっしょ)に**本(ほん)*を*書(か)いて*みる？*自分(じぶん)*で*書(か)いた*ストーリーを*本(ほん)*にするのは*素敵(すてき)*じゃない？」と*聞(き)いて*きたことです。
10,*本(ほん)*を*出版(しゅっぱん)した*ことがある*彼女(かのじょ)*は*私(わたし)*の*文筆力(ぶんぴつりょく)*を*認(みと)めて*くれて、*誘(さそ)って*くれたことがとてもうれしかったです。
11,なぜなら、*私(わたし)*ぐらいの*初心者(しょしんしゃ)*でも*自分(じぶん)*の*本(ほん)*を*作(つく)れる*とは*思(おも)って*いませんでしたから。
12,しかし、*彼女(かのじょ)*と*私(わたし)*は*絵(え)*が*苦手(にがて)*でしたから、*表紙(ひょうし)*と*付録(ふろく)*のキーホルダーを*有料(ゆうりょう)*で*他人(たにん)*に*頼(たの)ま*なければなりませんでした。
13,それはちょっと*悔(くや)しかった*ですが、*本当(ほんとう)に**忘(わす)れ*られない*経験(けいけん)*になりました。
14,*私(わたし)たち*が*心(こころ)*を*込(こ)めて**精一杯(せいいっぱい)**作(つく)った**物語(ものがたり)*を*読(よ)んで*いただく*読者(どくしゃ)*にどんな*反応(はんのう)*がいただけるかを*考(かんが)え*ただけで、どんなに*疲(つか)れて*いても*頑張(がんば)って**書(か)き**続(つづ)け*られました。
15,もしも、*自分(じぶん)*できれいな*絵(え)*が*描(か)けて*いたら、*妄想力(もうそうりょく)*に*富(と)んだ**良(よ)い**文章(ぶんしょう)*に*加(くわ)えて*、きっとオリジナルの*物語(ものがたり)*を*超(こ)えて*、*完璧(かんぺき)な**作品(さくひん)*ができていたかもしれません。
16,だから、*私(わたし)*は*今(いま)**非常(ひじょう)に**絵(え)*を*勉強(べんきょう)し*たいと*思(おも)って*います。
17,*以上(いじょう)*です。ご*清聴(せいちょう)*ありがとうございました。
